Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTL_C50T52: Wholesale and retail trade; repairs,,24692.3,9608.4,71444.8,28937.7,11141.6,39400.9,28551,41044.5,17087.2,7949.2,12952,14969.5,21511.1,56170.7,9605.8,46351.9,9668.3,16426.6,16032.8,64044.8,66736.6,30608.3,26404.9,14972.9,14465,14132.7,3173.2,8478.3,26774.2,49300.1,16858.4,32263.5,21633.4,0,724973.2,7262.5,136.6,83410.5,14909.1,4748.4,7776.4,94688.7,-186520.9
TTL_C55: Hotels and restaurants,,158.6,81.7,1039.8,264.6,293.2,2295.6,133.6,671.6,634,234.8,251.2,767.1,490.2,585.4,108.3,504.7,116.3,497.9,4306.4,2239.2,5600.1,8217.1,7045.7,2279,11946.5,5620.9,499.6,5171.3,21240.7,7201,2980.6,7532.2,4277,0,329955.6,1485.7,0,1521.4,3.1,27450.5,26178.8,562.8,-28413.3
TTL_C60T63: Transport and storage,,6360.9,4226.4,16634.8,2811.5,2413.8,14138.6,8069.9,8740.2,3311.3,3761.3,6037,3348.1,3413.9,6062.8,1727.5,5621.2,1499,2891.3,19328.1,14405.8,51661.8,4730,52954.3,2146.5,12769.1,4386.9,1273.6,5700.8,22464,26323.8,4591.9,9770.4,10393.4,0,148994.6,14.3,32.1,9050.6,1927.9,26804.4,31709.2,64602.2,-71659.6
TTL_C64: Post and telecommunications,,373.9,970.7,2153.9,711.3,418,6872.6,170.7,2398,924.2,443.7,464.3,1484,1530.7,2998.8,459.3,1131,509.1,1131.9,2068.4,9010.1,21094.5,4483.7,9186.7,106511.9,27641.3,12316.7,1178.8,12341.5,32133.9,31068.2,4191.6,12883.7,7646.2,0,224975.6,241.9,4.2,14773.8,-85.2,35.8,338.1,8206.7,-7890.8
TTL_C65T67: Financial intermediation,,8328.2,6714.9,5084.2,2228,746.7,8176.7,338.2,4576.5,2473.4,1262.8,2343.7,5510.8,4562.5,5522.9,1601,3798.6,1063.8,3755.6,25204.6,13401.6,49798.5,12001.9,24278.7,7578,387135.6,97320.9,3687,9516.5,49436.5,21391.8,8788.2,34794.1,35077.7,0,651420.9,0,0,3659.2,-371.9,90.6,204.4,42238.6,-48965.1
TTL_C70: Real estate activities,,9487.6,639.3,1862,475.3,326.8,6968.3,45.9,1293.1,1003.1,386.4,274.2,1720.8,1091.1,1163.1,364.6,385.5,334.6,1134.7,4638.1,4534.8,51054.3,14910.8,8276.2,5789.1,34546.8,65425,2470.4,6692.1,37714.5,21502.7,28942.2,58163.5,26489.1,0,1014900,57.8,0,19196.9,-86.3,4037.3,4438.1,2845.9,-5217.5
TTL_C71: Renting of machinery and equipment,,531.7,2949,1025.8,331.2,117.6,1698.3,88.3,1641.5,346.7,185.3,186.5,720.6,526.7,1262.3,226.9,513.4,198.3,419.4,814,3533.6,5024,1326.8,4594.3,3113.1,3147.1,425.7,391.4,2256.5,5253.7,1195.2,1193.7,1683.7,1189.8,0,20196.4,24.2,0,122.1,-8.3,4037,2793.1,10845.6,-7183.3
TTL_C72: Computer and related activities,,393.1,1173.1,2074.3,651.6,543.9,6083.8,278.5,1888.8,969,451.1,469.6,1360.6,1552.3,2950.3,335.6,844.2,512.7,1113.8,4101.5,3115.3,10702.9,2072.2,2413.2,4837.2,25100.6,4548.1,899.8,7540.5,22783.2,33745.4,4851.7,5658.6,3921.5,0,10577.5,218,572.5,82000.4,-101,23.4,51.4,7190,-7163.9
TTL_C73T74: R&D and other business activities,,2138.9,8700.5,25550,7414.6,2937.8,43528.8,1523.5,31986.7,6949,3645.7,5032.1,10035.9,10301,26374.2,4382.4,10087.2,6004.1,7396.6,24419.8,31587.2,118727,27055.8,35363.8,35764.4,105035.3,75486.5,5748.5,34181.4,147347.6,61836.1,15061,64880.3,39433.9,0,113387.4,94.3,0,256594.2,-713.4,121.3,21.3,47295,-24801.6
TTL_C75: Public administration and defence; compulsory social security,,1227.5,1149.9,2810.7,653.7,466.2,3802.7,459.2,2550.9,825.4,566.9,1094.4,919.6,943.5,1487,529.4,742.9,299.9,586.8,2227.4,2126,13268.4,4607.2,6946.5,2604.2,9751.4,8820.5,545.2,1965.5,9136.3,9094.2,5279.9,6607,4667.1,0,134475.9,8373.8,967953.6,14706,5.1,305.5,1566.9,3647.5,-1356.8
TTL_C80: Education,,197.9,395.4,1249.5,369.9,173.8,2142,118.3,1427.1,381.8,188.5,252,523.9,520.6,1235,203.8,527,272.5,388.4,1614.9,1624.4,8294.4,1953.3,2193.5,1815.9,5965,3732.8,300.7,2117.4,8507.8,5652.9,2108.1,3463.7,2330.5,0,98714.5,8089.7,441681,14227.5,-26.1,1033.3,3406.3,2129.3,-1208.9
TTL_C85: Health and social work,,102.1,103.9,324.2,112.5,49.4,275.8,95.1,236.6,83.5,39.7,56.9,89.4,105.2,254.1,44.9,175.4,46.4,81.4,146.7,348,599.7,213.4,269.9,186,451.7,269.5,33.7,181,880.5,5072.2,136.2,14121.2,275.5,0,806138.5,93875.2,0,1900.7,3.2,1622.2,685.6,681.4,-1852.5
"TTL_C90T93: Other community, social and personal services",,764.4,1045.2,2787.9,706.6,717.1,3768.7,296.7,2913.6,1343.1,836.2,1513,1623.6,1067.5,2184.4,430.5,1037.6,368.1,909.5,2190.7,11120.3,14846.7,5862.3,4342.3,28369.9,11866.6,10244.2,1516.5,4324.1,18902.7,28770.6,7149,9804.3,35080.7,0,376881.7,45534.9,1610.8,2364.8,-241.2,8642.9,7455.9,12347.3,-14418.3
TTL_C95: Private households with employed persons,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13168.8,0,0,0,0,0,0,0,0
TXS_INT_FNL: Taxes less subsidies on intermediate and final products,,-5584.8,1052.6,-10474.9,520.8,193.4,716.5,827.2,1999.6,354.7,248.8,396.7,457.2,554.2,398.4,312,871.3,159.7,248.7,3260.1,5084.8,486.1,633.3,8486.2,147.6,-1.9,1147.7,40.3,54,1536.3,5327.3,1387.1,143.7,736.9,0,369082.3,0,0,0,0,0,8239.3,0,0
TTL_INT_FNL: Total intermediate and final expenditure at purchasers' prices,,135175.4,89175.8,357399.4,98917.5,63731.9,306010.4,178776.8,271299.7,106684.2,50952.5,103538,137022.5,167786.5,316779.8,73824.5,331856.7,85563.2,93110.7,192159.9,454199.2,542464.6,214541.4,281996.5,255146.2,693290.3,427488.4,26632.9,122328.2,499314.9,523723,170482.2,363599.8,258864.6,0,6575646.5,165400,1413784.2,1689690.1,54707.6,93616.1,115537.1,980140,-1475100.1
VALU: Value added at basic prices,,96802.6,97406,167721.7,46516.6,26834.1,192317.9,40811.9,143244.5,61271.4,39715.6,43768.4,114679.1,104878.2,163796.4,41788,111195.1,62591.5,87633.9,143803.6,438203.5,1082312.4,249489.2,273449.2,304357.1,802486.6,1012789.7,52306.3,130978.4,928601.2,714717.8,459807.1,564916.1,400018.6,13168.8,0,0,0,0,0,0,0,0,0
OUTPUT: Output,,231978,186581.7,525121.1,145434.1,90566,498328.3,219588.7,414544.2,167955.6,90668.1,147306.4,251701.5,272664.7,480576.2,115612.5,443051.8,148154.7,180744.6,335963.5,892402.7,1624777,464030.6,555445.7,559503.3,1495776.9,1440278.2,78939.1,253306.6,1427916.2,1238440.8,630289.3,928515.9,658883.2,13168.8,0,0,0,0,0,0,0,0,0
Data extracted on 12 Oct 2018 08:00 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
