Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTL_C50T52: Wholesale and retail trade; repairs,,16388.5,1109.1,52133.3,4876.3,2210.2,13793,23834.4,43807,19120.1,6642,33457.1,8868.4,33075.2,37008.8,10750.4,73501.4,4024.1,7854,28359.5,54351.2,58471.3,58979.5,27362.1,5247.3,7861.8,1920.4,6443.3,7166.3,13193.4,21090.2,7482.6,37920,17665.9,0,372466.4,1.8,112,105193.2,4469,1636.9,467.2,155217.8,-119838.3
TTL_C55: Hotels and restaurants,,558.7,253.3,4086.2,409.6,189.3,2265.8,642.5,5319.1,1443.5,1158,2989.8,1989.8,3784.1,4725.1,1556.8,1673.7,600,1082.8,4311.2,7064.9,17593,5676.5,7991.4,13339.5,8576.6,1542.8,489.2,3276.7,8559.3,2.7,171.3,5050.9,5615.2,0,292653,0.4,0,7.6,36.2,5366.7,3024.6,0,-5637.2
TTL_C60T63: Transport and storage,,4788.9,309.4,13215,927.5,796.6,4962.4,9433.6,10530.7,3860.7,4151.1,13627.5,3224.7,7064.4,7138.9,2643.6,11477.8,1157.7,2032.8,12020.7,20333.9,26230.4,13318.3,42286.1,4010.8,6743.6,613,679.6,2603.8,4647.9,12399.6,3478.6,8729,6220.2,0,185227.2,0,40.2,15529.9,854,7998.5,2754.1,75347.1,-58088.7
TTL_C64: Post and telecommunications,,168.4,50,777.2,130.3,31.8,392,189.7,2918.9,728.4,275.2,762.3,626.4,1318.3,1499.2,541.5,639.2,153,293.6,1531.9,5177.1,21785.2,4418,3855.9,23497.5,8795.4,877.5,297.7,3378.7,9080.4,6867.6,734.2,2304.2,4774.6,0,122648.9,0,0.5,49.5,76.5,8.5,0,891.5,-1865.8
TTL_C65T67: Financial intermediation,,3436.7,498.7,3733.3,1019.3,326.6,1759.6,1575.4,3660,1104.8,1181,3991.7,1776.5,3058,2759,713.6,1717.7,1190.4,1222.6,5176.9,7289.8,25951.9,4496.7,13706,2593.8,14321.9,76253.1,5376.8,959.5,5859,3090.2,701.5,5550,4238.6,0,229413.4,0,0.1,81.6,248,43.1,0,10479.9,-22589.4
TTL_C70: Real estate activities,,67.7,65.5,1046.8,130.7,35.9,493.3,149.7,1582.2,479.2,338.1,903.6,498.7,1059.2,1231.1,437.2,448.6,158.9,257.9,2789.1,2025.1,27434.6,5465,10475.7,4429.6,6299.7,4913.5,785.9,4368,2693.6,734.8,372.9,4227.2,5559.9,0,765545.5,0,0.1,11,79.8,401,604.9,1433.2,-1196.2
TTL_C71: Renting of machinery and equipment,,495,389.3,860.4,83.1,69.6,230.5,71.1,734.8,302,577.1,678.4,455.4,628.2,889.5,272.6,240.3,90.4,267.6,1297.1,2482.8,12481,612.6,4061.7,1512.1,8163.5,345,550.3,2593.6,4686.5,15500.9,2011.6,2587.6,2414.3,0,11904.7,0,0,4.7,73.8,1384.7,927.5,1370.3,-2229.4
TTL_C72: Computer and related activities,,249.7,38,1550.7,180.9,60.1,652.5,167.6,3275.2,1037.3,670.5,1479,861.9,2731.3,3788.2,1533,1028.5,249.2,442.9,5521.6,1825.7,15726.1,2301.2,3398.8,5834.3,16415.1,598.8,577.4,6028.5,30888,14614.2,3413.4,5693.4,12534.7,0,25803,0,0.4,73237.8,218.8,9,0,3114.1,-14081.2
TTL_C73T74: R&D and other business activities,,433.4,198,12869.4,834,131,4174.5,562.5,18516.3,4041.6,2500.2,4029.5,2450.5,8326.4,11201.5,3358.8,7865.5,1221.1,2038.4,13899.4,43928.1,61980.2,8688.5,19242.6,21474.7,46449.1,19602.8,3069.3,27525.3,44700.9,26944.7,9002.4,29881.4,17261.8,0,16826.7,0.1,791.7,37161.3,987.7,9,0,10227.1,-22252.5
TTL_C75: Public administration and defence; compulsory social security,,108.6,4.4,263.9,16,7.8,71.8,49.8,310.8,52.4,56.8,127.1,45.6,91.1,134.9,42,91.7,19.3,47.6,142.9,408,1347.8,1047.5,2208.6,1168.3,237.3,201.2,23.1,62.2,226.8,639.9,704.7,1257.2,700,0,24912.5,0.8,517015.4,62.8,13.3,252.8,0,0.2,-1257.2
TTL_C80: Education,,5.7,1.5,68.5,1.1,3,23.5,9,143.1,87.9,33.4,325.8,66.5,191.8,351.1,122.8,466.9,286.6,16.8,305.8,169.3,239.1,101.6,374.7,926,111.7,14.1,13.3,328.2,405.7,258,8,93.9,159,0,69121.7,24564.8,169679.7,27.3,10.9,1158.1,298.1,0,-1644.6
TTL_C85: Health and social work,,26,7.3,128.5,12.4,5.8,66.4,19.6,164.2,44.8,33.4,85.9,56.7,108.8,138,44.9,49.7,17.3,32.9,127,204.4,1138,177.6,250.1,388.4,255.9,45.1,14.2,96.1,252.3,60.2,7.5,10052.4,186.2,0,124419,0.1,516118.7,14.1,52.8,24.5,646.4,0,-188
"TTL_C90T93: Other community, social and personal services",,116.6,31.4,543.2,93.2,27.7,271.9,121.5,1241.9,232,253.2,505.6,230.2,790.8,602.2,191.7,285.8,156.9,131,2036,1467.7,3392.6,6803.9,2223.6,1516.2,1536.3,718.5,163.6,1361.4,23019.5,7288.1,908.3,8337.1,8502.1,0,264420.4,57126.4,0.2,36.8,413.2,768.9,84.6,1130.8,-1616.2
TTL_C95: Private households with employed persons,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXS_INT_FNL: Taxes less subsidies on intermediate and final products,,110.8,8.5,398.6,66.4,40.4,181.5,2840.3,585.6,178.8,73.5,733,92.5,315.4,834.8,99.7,534.2,85,89.8,1371.2,506.8,383.7,311.9,208.3,49.3,96.5,51.4,19.4,49.1,109.7,162.6,36.8,371.3,141.5,0,325102.5,0,0,0,0,0,58.1,0,0
TTL_INT_FNL: Total intermediate and final expenditure at purchasers' prices,,77844.8,5194.9,247071.2,21705,14019.2,85515.6,245959.9,284007.9,111788,43953.2,395505.1,77090.2,221573.3,231512.8,75515.7,400617.8,32823.4,45789.6,224994.9,345154.3,458270.2,230716.1,208560.3,100408.7,146468,146730.6,20533.8,77904.7,174084.8,180645.5,52391.3,262056.4,129733.3,0,3765572,81694.6,1203851.6,1215387.2,-23595.8,23362.3,10209.3,883191.4,-946931.9
VALU: Value added at basic prices,,68005.8,3801.8,156875.8,16805.5,9664.2,80410.9,77297.9,90020.6,52567.1,35646.4,82871.6,53487.3,120988.1,136088.3,40731.7,110661.8,19877.7,24205.8,142701,331697.3,807423.7,188724.7,286760.9,130272,281499.5,712107.6,61538.6,155764.7,348070.1,372272.2,216538.3,393329,267733.6,0,0,0,0,0,0,0,0,0,0
OUTPUT: Output,,145850.6,8996.7,403947,38510.5,23683.4,165926.5,323257.9,374028.5,164355.1,79599.5,478376.7,130577.5,342561.4,367601.1,116247.5,511279.6,52701,69995.4,367695.8,676851.7,1265693.9,419440.8,495321.2,230680.8,427967.5,858838.2,82072.3,233669.4,522154.9,552917.7,268929.6,655385.4,397467,0,0,0,0,0,0,0,0,0,0
Data extracted on 12 Oct 2018 08:08 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
