Column sector (to:),,"C01T05: Agriculture, hunting, forestry and fishing",C10T14: Mining and quarrying,"C15T16: Food products, beverages and tobacco","C17T19: Textiles, textile products, leather and footwear",C20: Wood and products of wood and cork,"C21T22: Pulp, paper, paper products, printing and publishing","C23: Coke, refined petroleum products and nuclear fuel",C24: Chemicals and chemical products,C25: Rubber and plastics products,C26: Other non-metallic mineral products,C27: Basic metals,C28: Fabricated metal products,"C29: Machinery and equipment, nec","C30T33X: Computer, Electronic and optical equipment","C31: Electrical machinery and apparatus, nec","C34: Motor vehicles, trailers and semi-trailers",C35: Other transport equipment,C36T37: Manufacturing nec; recycling,"C40T41: Electricity, gas and water supply",C45: Construction,C50T52: Wholesale and retail trade; repairs,C55: Hotels and restaurants,C60T63: Transport and storage,C64: Post and telecommunications,C65T67: Financial intermediation,C70: Real estate activities,C71: Renting of machinery and equipment,C72: Computer and related activities,C73T74: R&D and other business activities,C75: Public administration and defence; compulsory social security,C80: Education,C85: Health and social work,"C90T93: Other community, social and personal services",C95: Private households with employed persons,HFCE: Households final consumption expenditure,NPISH: Non-profit institutions serving households,GGFC: General Government final consumption,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),IMPO: Imports (cross border)
Row sector (from:),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTL_C50T52: Wholesale and retail trade; repairs,,6890.4,2359.8,17420.4,3098.6,767.8,8072.2,4098.5,13982.6,3926.5,2157.4,3714.6,4170.6,6695.6,5122.9,2836.3,11269.1,5784.9,3206,6353.1,16163.1,19735,13832.5,8741.1,4564.9,4997.7,721,2125.3,2582.4,5805.1,10013.3,4768.8,15882.1,4924.4,0,210934,193.3,270.9,21714.5,3986,1955.2,3783.5,68301.9,-78421.5
TTL_C55: Hotels and restaurants,,95.9,137.9,484.8,33.7,23.1,93.6,93.3,206.1,60.4,46.3,86.6,13.2,93,963.1,25.8,129,104.5,38.8,240.6,612.5,4157.9,802.2,1253.3,361.7,3164.5,143.6,12.3,264.3,1482.7,1699.4,1106.4,5205.9,688.2,0,95051.8,9.5,13.7,423,9.7,14202.7,7357.4,141.4,-14503.6
TTL_C60T63: Transport and storage,,641.3,2240.4,4321,619.9,472.4,2191.3,994.8,2591.8,552.5,1678.3,717.9,720.4,616.7,569.2,417.3,1065.7,1164.8,622.7,1335.9,3515.7,43973,3789,53515.5,4572.7,9067.5,554,946.4,1422,6093.1,3438.4,3324.9,4418.4,4511.4,0,58148.7,3.5,3.1,2700.1,165,11717.6,8780.9,26126.6,-49904.3
TTL_C64: Post and telecommunications,,533.5,235.8,913.6,102.9,50.1,401.5,110.8,1014.7,143.3,199.8,120.6,218.2,261.6,168.5,75.8,133.5,214.5,121.1,333.9,2192.6,9082.8,1759.2,2932.9,10788.9,16241.4,1201.6,387.8,1241.1,7396.7,5257.5,773.4,2253.7,3849.3,0,30535.1,12.5,6.9,4421.5,24.6,15.5,49,9730.1,-9143.6
TTL_C65T67: Financial intermediation,,2119.1,2317.4,2987.5,592.7,370.3,943.3,861,3635.5,759,863.7,450,1109.9,955.7,420.5,506.8,2003.5,1754.3,750.4,2723.6,5977.4,10935.6,2843,5696.7,2280,33909.9,49381.4,972,2406.7,10304.4,5349,721.3,2387.5,4389.8,0,88434.7,6,0.1,3151.9,128.3,7.8,73.9,90240.2,-11797.7
TTL_C70: Real estate activities,,137,36.4,189.3,45.3,34.3,230.4,13.2,85.8,77,31.3,16,101,99.6,60.9,53.3,49.9,118.2,54.9,319,1925.8,13474.9,665.4,1958.9,886,4930,811.3,63.4,363.6,1259.4,4457.6,697.9,2432.1,1026.9,0,291067,3.8,0.2,13565.1,25.2,788.3,722.6,1036.9,-3045.7
TTL_C71: Renting of machinery and equipment,,147,721.7,535.8,85.4,52.9,382.1,41.4,318.3,161.3,277.1,133.7,370.6,209.2,144.8,123.9,263.3,232.9,149.2,279.6,8718.8,1509.1,89.9,4481,326.4,548.4,109.6,955.5,365.4,848.6,254.5,1722.2,1188.5,1865.8,0,7853.2,1.6,0.9,148.8,18.7,1294.3,542.9,1092.9,-5111.8
TTL_C72: Computer and related activities,,82.5,536.4,943,172.5,60.5,870.8,179.1,1307.5,192.6,131.1,304.7,210.8,480.2,327.4,199.4,538.1,1435.6,353.2,1049.7,2635,8434.5,1824.4,5313.2,3897.7,10605.4,873.4,517.9,5128.7,10025.6,2896.1,1485.1,2284.8,4106.6,0,2664.9,144.4,288,29545.4,336,30.5,68.1,12218.1,-10000.4
TTL_C73T74: R&D and other business activities,,651.4,3027.3,5770.2,713.5,194.1,3860.1,494,4203.7,849.7,491.5,413.7,671.3,1397.2,1596.6,540.8,1997.3,2759,2274.5,2987.5,16638.5,33578.2,6578.7,14453.1,5687.4,37752.2,5382.3,3740.7,19181.7,87439.7,15706.2,8566.9,16504.4,18566.5,0,6801.8,1708.6,701.3,15852.1,870.4,32.8,73.3,100199.2,-63333.8
TTL_C75: Public administration and defence; compulsory social security,,41.6,51.8,220,50.2,19.8,81.6,31.1,348,58.8,23.2,73.2,109.8,127.7,30,30.8,100.5,111.3,60.3,115.1,1493.3,898.4,205.5,3864,349.1,379.9,5540.9,25.2,89.9,7896.9,491.4,39.8,198,497,0,7890.2,32.5,191655.2,4380.3,7,370.9,0,0.1,-2008
TTL_C80: Education,,26.3,45.1,159,46.3,6,86.8,25.8,325.5,70.4,41.6,32,67.6,105.1,76.4,29.5,103.3,158,56.3,178.7,456.4,1136.9,446.9,1121.5,1062.9,2709.7,195.5,36.9,765.2,5318.3,7770.1,15507.2,1258.9,1091.4,0,19621.6,35147.6,95715.1,258.4,18.7,1431.1,3799.7,100,-2161.6
TTL_C85: Health and social work,,4.2,47.9,32.5,6.4,3,571.3,6.2,46,9.5,4.4,8.2,13.8,15.4,34.1,6.2,14.5,25.1,8.7,28.7,90.8,219,115.7,106.9,39.4,421.4,7.4,9,29.6,550.1,327.6,269.2,56626,435.4,0,33411.6,10007.2,229956.2,115.1,25.7,912.8,408.8,36.9,-1230.8
"TTL_C90T93: Other community, social and personal services",,133.6,316,597.8,168.6,30.2,1141.6,70.2,510.7,105.2,144.5,1287.4,101.2,126.7,117.2,44.6,141.4,283.1,122.2,337.1,1111,2163,1592.1,1871.8,1132.7,3107.5,293.5,436.5,720.4,4620.9,5943.2,1860.4,4990.4,30768,0,85880.9,14221.9,21556.3,7952.2,390.6,3315.9,3074.5,23825.2,-21778.8
TTL_C95: Private households with employed persons,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXS_INT_FNL: Taxes less subsidies on intermediate and final products,,884.4,432.3,377.3,96.9,59.8,196.9,1554,1022.4,163.7,203.5,325.6,214.2,252.3,150.5,110.3,199.2,160.6,170.2,1776.9,5149.9,4175.3,6162.8,4693.3,1306.6,12672.9,4858.5,286.9,741.3,1819.9,14189.5,5357.3,13065.6,4927.2,0,172960.8,0,0,0,0,0,4670.6,16710.6,0
TTL_INT_FNL: Total intermediate and final expenditure at purchasers' prices,,30006.3,29749,86569.1,10174.1,7446.7,40081,49326.8,66713.8,19982.4,16255.7,24445.5,24764.8,35302.6,23900.1,13837.2,56428.2,36202.9,16865.7,123312.4,185566.8,212735,67645.5,131013.8,50847.8,154342.6,95009.3,13149.6,40412.1,168797.7,110545.3,58188.1,164759,93610.2,0,1500700.3,61615.9,540214.5,335783,15985.6,46194,47324.9,759822.9,-826967.1
VALU: Value added at basic prices,,17262.7,51214.2,35813.5,6993.2,3539.4,29422.6,5648.5,36708.9,10790.6,6990.7,3811.8,21106.1,22271.1,19959.4,7554,15724.7,13245.6,11116,35636.3,128348,246766.5,58984.6,93403.6,55516.4,179581.4,245859.6,20305.9,64286.2,218777.7,115437.1,136259.9,169018.1,111219.7,0,0,0,0,0,0,0,0,0,0
OUTPUT: Output,,47269.1,80963.1,122382.5,17167.3,10986.1,69503.6,54975.3,103422.7,30773,23246.4,28257.3,45871,57573.6,43859.5,21391.2,72153,49448.5,27981.7,158948.7,313914.9,459501.6,126630.1,224417.4,106364.2,333924.1,340868.9,33455.5,104698.3,387575.3,225982.4,194448,333777.1,204829.9,0,0,0,0,0,0,0,0,0,0
Data extracted on 12 Oct 2018 08:04 UTC (GMT) from OECD.Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
